objectid,filename,youtubeid,vimeoid,title,creator,date,description,subject,location,latitude,longitude,source,identifier,type,format,language,rights,rightsstatement
condit01,parable_of_now.mp4,,,A Parable of Now,Cecelia Condit,2024,16-foot video displayed in UTK's Ewing Gallery.,earth;future;humans;climate-change; environment,,,,https://www.youtube.com/@ceceliacondit,,MovingImage,video/mp4,,https://www.ceceliacondit.com/,
condit02,,DZajXtChRro,,Pizzly Bear,Cecelia Condit,2017,"Pizzly Bear, a cross between a Polar Bear and a Grizzly Bear, is an environmental fairy tale about a little bear's confusion around its identity.",bears; environment,,,,https://www.youtube.com/@ceceliacondit,,MovingImage,video/mp5,,https://www.ceceliacondit.com/,
condit03,,YMjiJEMUok8,,Suburbs of Eden,Cecelia Condit,1992,,Is a portrait of a woman who can not see her way out of relationships that devastates her.,,,,https://www.youtube.com/@ceceliacondit,,MovingImage,video/mp6,,https://www.ceceliacondit.com/,
condit04,,iLJNSD3H5sg,,Possibly in Michigan,Cecelia Condit,1983,,"Possibly in Michigan is a musical horror story about two young women who are stalked through a shopping mall by the cannibal named Arthur. He follows them home, and here the victims become the aggressors. ",,,,https://www.youtube.com/@ceceliacondit,,MovingImage,video/mp7,,https://www.ceceliacondit.com/,
condit05,,kWI16hYaFAA,,All About a Girl,Cecelia Condit,2024,,"In 'All About a Girl', a young girl runs away with a dead rat who promises her a future together, so she won’t feel so inadequate just being herself.",,,,https://www.youtube.com/@ceceliacondit,,MovingImage,video/mp8,,https://www.ceceliacondit.com/,
condit06,,8br25F98Em4,,Pulling Up Roots,Cecelia Condit,2015,,,,,,https://www.youtube.com/@ceceliacondit,,MovingImage,video/mp9,,https://www.ceceliacondit.com/,
condit07,,tp618Fb28U8,,Within a Stone's Throw,Cecelia Condit,2012,,,,,,https://www.youtube.com/@ceceliacondit,,MovingImage,video/mp10,,https://www.ceceliacondit.com/,
condit08,,ZAQiCQGAkUc,,I've Been Afraid,Cecelia Condit,2020,,,,,,https://www.youtube.com/@ceceliacondit,,MovingImage,video/mp11,,https://www.ceceliacondit.com/,
condit09,,BcXEJbWkLWE,,Beneath the Skin,Cecelia Condit,1981,,,,,,https://www.youtube.com/@ceceliacondit,,MovingImage,video/mp12,,https://www.ceceliacondit.com/,
condit10,,40PKdF78Akk,,Annie Lloyd,Cecelia Condit,2008,,,,,,https://www.youtube.com/@ceceliacondit,,MovingImage,video/mp13,,https://www.ceceliacondit.com/,
condit11,,Z6LfnQNKYnQ,,We Were Hardly More Than Children,Cecelia Condit,2019,,,,,,https://www.youtube.com/@ceceliacondit,,MovingImage,video/mp14,,https://www.ceceliacondit.com/,
